"","x"
"122","Fully.Paid"
"123","Fully.Paid"
"124","Fully.Paid"
"125","Fully.Paid"
"126","Fully.Paid"
"127","Fully.Paid"
"128","Fully.Paid"
"129","Fully.Paid"
"130","Charged.Off"
"131","Fully.Paid"
"132","Fully.Paid"
"133","Fully.Paid"
"134","Fully.Paid"
"135","Fully.Paid"
"136","Fully.Paid"
"137","Fully.Paid"
"138","Fully.Paid"
"139","Fully.Paid"
"140","Fully.Paid"
"141","Fully.Paid"
"142","Fully.Paid"
"143","Fully.Paid"
"144","Charged.Off"
"145","Charged.Off"
"146","Fully.Paid"
"147","Fully.Paid"
"148","Fully.Paid"
"149","Fully.Paid"
"150","Fully.Paid"
"151","Fully.Paid"
"152","Fully.Paid"
"153","Fully.Paid"
"154","Charged.Off"
"155","Fully.Paid"
"156","Fully.Paid"
"157","Fully.Paid"
"158","Fully.Paid"
"159","Fully.Paid"
"160","Fully.Paid"
"161","Fully.Paid"
"162","Fully.Paid"
"163","Fully.Paid"
"164","Fully.Paid"
"165","Fully.Paid"
"166","Fully.Paid"
"167","Fully.Paid"
"168","Charged.Off"
"169","Fully.Paid"
"170","Fully.Paid"
"171","Fully.Paid"
"172","Fully.Paid"
"173","Fully.Paid"
"174","Fully.Paid"
"175","Fully.Paid"
"176","Fully.Paid"
"177","Charged.Off"
"178","Fully.Paid"
"179","Fully.Paid"
"180","Fully.Paid"
"181","Fully.Paid"
"182","Fully.Paid"
"183","Fully.Paid"
"184","Fully.Paid"
"185","Fully.Paid"
"186","Fully.Paid"
"187","Fully.Paid"
"188","Fully.Paid"
"189","Fully.Paid"
"190","Fully.Paid"
"191","Fully.Paid"
"192","Fully.Paid"
"193","Fully.Paid"
"194","Fully.Paid"
"195","Charged.Off"
"196","Fully.Paid"
"197","Fully.Paid"
"198","Fully.Paid"
"199","Fully.Paid"
"200","Fully.Paid"
"201","Fully.Paid"
"202","Fully.Paid"
"203","Fully.Paid"
"204","Fully.Paid"
"205","Fully.Paid"
"206","Charged.Off"
"207","Charged.Off"
"208","Fully.Paid"
"209","Fully.Paid"
"210","Fully.Paid"
"211","Charged.Off"
"212","Fully.Paid"
"213","Fully.Paid"
"214","Fully.Paid"
"215","Fully.Paid"
"216","Fully.Paid"
"217","Fully.Paid"
"218","Fully.Paid"
"219","Charged.Off"
"220","Charged.Off"
"221","Fully.Paid"
"222","Fully.Paid"
"223","Fully.Paid"
"224","Fully.Paid"
"225","Fully.Paid"
"226","Fully.Paid"
"227","Fully.Paid"
"228","Fully.Paid"
"229","Fully.Paid"
"230","Fully.Paid"
"231","Fully.Paid"
"232","Fully.Paid"
"233","Fully.Paid"
"234","Fully.Paid"
"235","Fully.Paid"
"236","Fully.Paid"
"237","Fully.Paid"
"238","Fully.Paid"
"239","Charged.Off"
"240","Fully.Paid"
"241","Charged.Off"
"242","Fully.Paid"
"243","Fully.Paid"
"244","Fully.Paid"
"245","Fully.Paid"
"246","Fully.Paid"
"247","Fully.Paid"
"248","Fully.Paid"
"249","Charged.Off"
"250","Fully.Paid"
"251","Fully.Paid"
"252","Fully.Paid"
"253","Fully.Paid"
"254","Charged.Off"
"255","Charged.Off"
"256","Fully.Paid"
"257","Fully.Paid"
"258","Fully.Paid"
"259","Fully.Paid"
"260","Fully.Paid"
"261","Fully.Paid"
"262","Fully.Paid"
"263","Charged.Off"
"264","Fully.Paid"
"265","Fully.Paid"
"266","Fully.Paid"
"267","Fully.Paid"
"268","Fully.Paid"
"269","Fully.Paid"
"270","Fully.Paid"
"271","Fully.Paid"
"272","Fully.Paid"
"273","Fully.Paid"
"274","Fully.Paid"
"275","Fully.Paid"
"276","Fully.Paid"
"277","Fully.Paid"
"278","Fully.Paid"
"279","Fully.Paid"
"280","Fully.Paid"
"281","Fully.Paid"
"282","Fully.Paid"
"283","Charged.Off"
"284","Fully.Paid"
"285","Charged.Off"
"286","Fully.Paid"
"287","Fully.Paid"
"288","Fully.Paid"
"289","Fully.Paid"
"290","Fully.Paid"
"291","Fully.Paid"
"292","Fully.Paid"
"293","Charged.Off"
"294","Fully.Paid"
"295","Fully.Paid"
"296","Fully.Paid"
"297","Fully.Paid"
"298","Fully.Paid"
"299","Fully.Paid"
"300","Fully.Paid"
"301","Fully.Paid"
"302","Fully.Paid"
"303","Fully.Paid"
"304","Fully.Paid"
"305","Fully.Paid"
"306","Charged.Off"
"307","Fully.Paid"
"308","Fully.Paid"
"309","Charged.Off"
"310","Fully.Paid"
"311","Charged.Off"
"312","Fully.Paid"
"313","Fully.Paid"
"314","Fully.Paid"
"315","Fully.Paid"
"316","Fully.Paid"
"317","Fully.Paid"
"318","Fully.Paid"
"319","Fully.Paid"
"320","Fully.Paid"
"321","Fully.Paid"
"322","Charged.Off"
"323","Fully.Paid"
"324","Fully.Paid"
"325","Fully.Paid"
"326","Fully.Paid"
"327","Charged.Off"
"328","Fully.Paid"
"329","Fully.Paid"
"330","Fully.Paid"
"331","Fully.Paid"
"332","Fully.Paid"
"333","Fully.Paid"
"334","Fully.Paid"
"335","Fully.Paid"
"336","Fully.Paid"
"337","Charged.Off"
"338","Fully.Paid"
"339","Fully.Paid"
"340","Fully.Paid"
"341","Fully.Paid"
"342","Fully.Paid"
"343","Fully.Paid"
"344","Fully.Paid"
"345","Fully.Paid"
"346","Fully.Paid"
"347","Fully.Paid"
"348","Fully.Paid"
"349","Fully.Paid"
"350","Charged.Off"
"351","Fully.Paid"
"352","Fully.Paid"
"353","Fully.Paid"
"354","Charged.Off"
"355","Fully.Paid"
"356","Fully.Paid"
"357","Fully.Paid"
"358","Fully.Paid"
"359","Fully.Paid"
"360","Fully.Paid"
"361","Fully.Paid"
"362","Fully.Paid"
"363","Fully.Paid"
"364","Fully.Paid"
"365","Fully.Paid"
"366","Fully.Paid"
"367","Fully.Paid"
"368","Fully.Paid"
"369","Fully.Paid"
"370","Fully.Paid"
"371","Charged.Off"
"372","Fully.Paid"
"373","Fully.Paid"
"374","Fully.Paid"
"375","Fully.Paid"
"376","Fully.Paid"
"377","Fully.Paid"
"378","Charged.Off"
"379","Charged.Off"
"380","Fully.Paid"
"381","Fully.Paid"
"382","Fully.Paid"
"383","Fully.Paid"
"384","Fully.Paid"
"385","Fully.Paid"
"386","Charged.Off"
"387","Fully.Paid"
"388","Fully.Paid"
"389","Charged.Off"
"390","Fully.Paid"
"391","Fully.Paid"
"392","Fully.Paid"
"393","Fully.Paid"
"394","Fully.Paid"
"395","Fully.Paid"
"396","Charged.Off"
"397","Fully.Paid"
"398","Fully.Paid"
"399","Charged.Off"
"400","Fully.Paid"
"401","Fully.Paid"
"402","Fully.Paid"
"403","Fully.Paid"
"404","Charged.Off"
"405","Fully.Paid"
"406","Fully.Paid"
"407","Charged.Off"
"408","Fully.Paid"
"409","Fully.Paid"
"410","Fully.Paid"
"411","Fully.Paid"
"412","Fully.Paid"
"413","Charged.Off"
"414","Fully.Paid"
"415","Fully.Paid"
"416","Fully.Paid"
"417","Fully.Paid"
"418","Fully.Paid"
"419","Fully.Paid"
"420","Fully.Paid"
"421","Charged.Off"
"422","Fully.Paid"
"423","Fully.Paid"
"424","Charged.Off"
"425","Fully.Paid"
"426","Charged.Off"
"427","Fully.Paid"
"428","Charged.Off"
"429","Fully.Paid"
"430","Charged.Off"
"431","Charged.Off"
"432","Fully.Paid"
"433","Fully.Paid"
"434","Fully.Paid"
"435","Fully.Paid"
"436","Fully.Paid"
"437","Fully.Paid"
"438","Fully.Paid"
"439","Fully.Paid"
"440","Fully.Paid"
"441","Fully.Paid"
"442","Fully.Paid"
"443","Fully.Paid"
"444","Fully.Paid"
"445","Fully.Paid"
"446","Fully.Paid"
"447","Fully.Paid"
"448","Fully.Paid"
"449","Fully.Paid"
"450","Charged.Off"
"451","Charged.Off"
"452","Charged.Off"
"453","Fully.Paid"
"454","Fully.Paid"
"455","Fully.Paid"
"456","Fully.Paid"
"457","Fully.Paid"
"458","Fully.Paid"
"459","Charged.Off"
"460","Fully.Paid"
"461","Fully.Paid"
"462","Fully.Paid"
"463","Charged.Off"
"464","Fully.Paid"
"465","Fully.Paid"
"466","Fully.Paid"
"467","Fully.Paid"
"468","Fully.Paid"
"469","Fully.Paid"
"470","Fully.Paid"
"471","Fully.Paid"
"472","Charged.Off"
"473","Fully.Paid"
"474","Fully.Paid"
"475","Fully.Paid"
"476","Fully.Paid"
"477","Fully.Paid"
"478","Fully.Paid"
"479","Fully.Paid"
"480","Fully.Paid"
"481","Fully.Paid"
"482","Charged.Off"
"483","Fully.Paid"
"484","Fully.Paid"
"485","Fully.Paid"
"486","Fully.Paid"
"487","Fully.Paid"
"488","Fully.Paid"
"489","Fully.Paid"
"490","Fully.Paid"
"491","Fully.Paid"
"492","Fully.Paid"
"493","Charged.Off"
"494","Fully.Paid"
"495","Fully.Paid"
"496","Fully.Paid"
"497","Charged.Off"
"498","Fully.Paid"
"499","Fully.Paid"
"500","Fully.Paid"
"501","Fully.Paid"
"502","Fully.Paid"
"503","Fully.Paid"
"504","Fully.Paid"
"505","Fully.Paid"
"506","Fully.Paid"
"507","Fully.Paid"
"508","Fully.Paid"
"509","Fully.Paid"
"510","Fully.Paid"
"511","Fully.Paid"
"512","Fully.Paid"
"513","Charged.Off"
"514","Fully.Paid"
"515","Fully.Paid"
"516","Fully.Paid"
"517","Fully.Paid"
"518","Fully.Paid"
"519","Charged.Off"
"520","Fully.Paid"
"521","Fully.Paid"
"522","Fully.Paid"
"523","Fully.Paid"
"524","Fully.Paid"
"525","Fully.Paid"
"526","Fully.Paid"
"527","Fully.Paid"
"528","Fully.Paid"
"529","Fully.Paid"
"530","Fully.Paid"
"531","Fully.Paid"
"532","Fully.Paid"
"533","Charged.Off"
"534","Fully.Paid"
"535","Fully.Paid"
"536","Fully.Paid"
"537","Fully.Paid"
"538","Fully.Paid"
"539","Fully.Paid"
"540","Fully.Paid"
"541","Fully.Paid"
"542","Fully.Paid"
"543","Fully.Paid"
"544","Fully.Paid"
"545","Fully.Paid"
"546","Fully.Paid"
"547","Fully.Paid"
"548","Fully.Paid"
"549","Fully.Paid"
"550","Fully.Paid"
"551","Fully.Paid"
"552","Fully.Paid"
"553","Fully.Paid"
"554","Fully.Paid"
"555","Fully.Paid"
"556","Fully.Paid"
"557","Fully.Paid"
"558","Fully.Paid"
"559","Fully.Paid"
"560","Fully.Paid"
"561","Fully.Paid"
"562","Fully.Paid"
"563","Fully.Paid"
"564","Fully.Paid"
"565","Fully.Paid"
"566","Fully.Paid"
"567","Charged.Off"
"568","Fully.Paid"
"569","Fully.Paid"
"570","Charged.Off"
"571","Fully.Paid"
"572","Fully.Paid"
"573","Fully.Paid"
"574","Fully.Paid"
"575","Fully.Paid"
"576","Fully.Paid"
"577","Fully.Paid"
"578","Fully.Paid"
"579","Fully.Paid"
"580","Charged.Off"
"581","Fully.Paid"
"582","Fully.Paid"
"583","Fully.Paid"
"584","Fully.Paid"
"585","Fully.Paid"
"586","Fully.Paid"
"587","Fully.Paid"
"588","Fully.Paid"
"589","Fully.Paid"
"590","Fully.Paid"
"591","Fully.Paid"
"592","Fully.Paid"
"593","Fully.Paid"
"594","Fully.Paid"
"595","Fully.Paid"
"596","Fully.Paid"
"597","Fully.Paid"
"598","Fully.Paid"
"599","Fully.Paid"
"600","Fully.Paid"
"601","Fully.Paid"
"602","Charged.Off"
"603","Fully.Paid"
"604","Fully.Paid"
"605","Fully.Paid"
"606","Fully.Paid"
"607","Fully.Paid"
"608","Fully.Paid"
"609","Fully.Paid"
"610","Fully.Paid"
"611","Fully.Paid"
"612","Fully.Paid"
"613","Fully.Paid"
"614","Fully.Paid"
"615","Fully.Paid"
"616","Fully.Paid"
"617","Fully.Paid"
"618","Fully.Paid"
"619","Charged.Off"
"620","Fully.Paid"
"621","Charged.Off"
"622","Charged.Off"
"623","Fully.Paid"
"624","Fully.Paid"
"625","Fully.Paid"
"626","Fully.Paid"
"627","Charged.Off"
"628","Fully.Paid"
"629","Fully.Paid"
"630","Fully.Paid"
"631","Fully.Paid"
"632","Fully.Paid"
"633","Charged.Off"
"634","Fully.Paid"
"635","Charged.Off"
"636","Charged.Off"
"637","Fully.Paid"
"638","Fully.Paid"
"639","Fully.Paid"
"640","Fully.Paid"
"641","Fully.Paid"
"642","Fully.Paid"
"643","Fully.Paid"
"644","Fully.Paid"
"645","Fully.Paid"
"646","Fully.Paid"
"647","Fully.Paid"
"648","Fully.Paid"
"649","Charged.Off"
"650","Fully.Paid"
"651","Charged.Off"
"652","Fully.Paid"
"653","Fully.Paid"
"654","Fully.Paid"
"655","Fully.Paid"
"656","Fully.Paid"
"657","Fully.Paid"
"658","Fully.Paid"
"659","Fully.Paid"
"660","Fully.Paid"
"661","Fully.Paid"
"662","Charged.Off"
"663","Fully.Paid"
"664","Fully.Paid"
"665","Fully.Paid"
"666","Fully.Paid"
"667","Fully.Paid"
"668","Fully.Paid"
"669","Fully.Paid"
"670","Fully.Paid"
"671","Charged.Off"
"672","Fully.Paid"
"673","Fully.Paid"
"674","Fully.Paid"
"675","Fully.Paid"
"676","Fully.Paid"
"677","Fully.Paid"
"678","Fully.Paid"
"679","Fully.Paid"
"680","Fully.Paid"
"681","Fully.Paid"
"682","Fully.Paid"
"683","Fully.Paid"
"684","Fully.Paid"
"685","Charged.Off"
"686","Fully.Paid"
"687","Fully.Paid"
"688","Fully.Paid"
"689","Fully.Paid"
"690","Fully.Paid"
"691","Fully.Paid"
"692","Fully.Paid"
"693","Fully.Paid"
"694","Fully.Paid"
"695","Charged.Off"
"696","Fully.Paid"
"697","Fully.Paid"
"698","Fully.Paid"
"699","Fully.Paid"
"700","Fully.Paid"
"701","Fully.Paid"
"702","Fully.Paid"
"703","Charged.Off"
"704","Fully.Paid"
"705","Fully.Paid"
"706","Fully.Paid"
"707","Fully.Paid"
"708","Fully.Paid"
"709","Fully.Paid"
"710","Fully.Paid"
"711","Fully.Paid"
"712","Fully.Paid"
"713","Fully.Paid"
"714","Fully.Paid"
"715","Fully.Paid"
"716","Fully.Paid"
"717","Charged.Off"
"718","Fully.Paid"
"719","Charged.Off"
"720","Charged.Off"
"721","Fully.Paid"
"722","Fully.Paid"
"723","Fully.Paid"
"724","Fully.Paid"
"725","Fully.Paid"
"726","Fully.Paid"
"727","Fully.Paid"
"728","Fully.Paid"
"729","Fully.Paid"
"730","Fully.Paid"
"731","Charged.Off"
"732","Fully.Paid"
"733","Fully.Paid"
"734","Fully.Paid"
"735","Fully.Paid"
"736","Fully.Paid"
"737","Fully.Paid"
"738","Fully.Paid"
"739","Fully.Paid"
"740","Fully.Paid"
"741","Fully.Paid"
"742","Charged.Off"
"743","Fully.Paid"
"744","Fully.Paid"
"745","Charged.Off"
"746","Fully.Paid"
"747","Fully.Paid"
"748","Fully.Paid"
"749","Fully.Paid"
"750","Fully.Paid"
"751","Fully.Paid"
"752","Fully.Paid"
"753","Fully.Paid"
"754","Fully.Paid"
"755","Fully.Paid"
"756","Fully.Paid"
"757","Fully.Paid"
"758","Fully.Paid"
"759","Charged.Off"
"760","Fully.Paid"
"761","Fully.Paid"
"762","Fully.Paid"
"763","Fully.Paid"
"764","Fully.Paid"
"765","Fully.Paid"
"766","Fully.Paid"
"767","Fully.Paid"
"768","Fully.Paid"
"769","Fully.Paid"
"770","Charged.Off"
"771","Charged.Off"
"772","Fully.Paid"
"773","Charged.Off"
"774","Fully.Paid"
"775","Fully.Paid"
"776","Fully.Paid"
"777","Fully.Paid"
"778","Fully.Paid"
"779","Fully.Paid"
"780","Fully.Paid"
"781","Fully.Paid"
"782","Fully.Paid"
"783","Fully.Paid"
"784","Fully.Paid"
"785","Fully.Paid"
"786","Fully.Paid"
"787","Fully.Paid"
"788","Fully.Paid"
"789","Fully.Paid"
"790","Fully.Paid"
"791","Fully.Paid"
"792","Fully.Paid"
"793","Fully.Paid"
"794","Charged.Off"
"795","Fully.Paid"
"796","Fully.Paid"
"797","Charged.Off"
"798","Fully.Paid"
"799","Fully.Paid"
"800","Fully.Paid"
"801","Fully.Paid"
"802","Fully.Paid"
"803","Fully.Paid"
"804","Fully.Paid"
"805","Charged.Off"
"806","Fully.Paid"
"807","Fully.Paid"
"808","Fully.Paid"
"809","Fully.Paid"
"810","Charged.Off"
"811","Fully.Paid"
"812","Fully.Paid"
"813","Fully.Paid"
"814","Fully.Paid"
"815","Fully.Paid"
"816","Fully.Paid"
"817","Fully.Paid"
"818","Fully.Paid"
"819","Fully.Paid"
"820","Fully.Paid"
"821","Fully.Paid"
"822","Charged.Off"
"823","Charged.Off"
"824","Fully.Paid"
"825","Fully.Paid"
"826","Fully.Paid"
"827","Fully.Paid"
"828","Fully.Paid"
"829","Fully.Paid"
"830","Fully.Paid"
"831","Fully.Paid"
"832","Fully.Paid"
"833","Fully.Paid"
"834","Fully.Paid"
"835","Fully.Paid"
"836","Fully.Paid"
"837","Fully.Paid"
"838","Fully.Paid"
"839","Charged.Off"
"840","Fully.Paid"
"841","Fully.Paid"
"842","Fully.Paid"
"843","Fully.Paid"
"844","Fully.Paid"
"845","Fully.Paid"
"846","Fully.Paid"
"847","Fully.Paid"
"848","Fully.Paid"
"849","Fully.Paid"
"850","Fully.Paid"
"851","Fully.Paid"
"852","Fully.Paid"
"853","Fully.Paid"
"854","Charged.Off"
"855","Fully.Paid"
"856","Fully.Paid"
"857","Fully.Paid"
"858","Fully.Paid"
"859","Fully.Paid"
"860","Fully.Paid"
"861","Fully.Paid"
"862","Fully.Paid"
"863","Fully.Paid"
"864","Fully.Paid"
"865","Fully.Paid"
"866","Fully.Paid"
"867","Fully.Paid"
"868","Fully.Paid"
"869","Fully.Paid"
"870","Fully.Paid"
"871","Fully.Paid"
"872","Fully.Paid"
"873","Fully.Paid"
"874","Fully.Paid"
"875","Fully.Paid"
"876","Fully.Paid"
"877","Charged.Off"
"878","Fully.Paid"
"879","Charged.Off"
"880","Fully.Paid"
"881","Fully.Paid"
"882","Fully.Paid"
"883","Charged.Off"
"884","Fully.Paid"
"885","Fully.Paid"
"886","Fully.Paid"
"887","Fully.Paid"
"888","Fully.Paid"
"889","Fully.Paid"
"890","Fully.Paid"
"891","Fully.Paid"
"892","Fully.Paid"
"893","Charged.Off"
"894","Fully.Paid"
"895","Fully.Paid"
"896","Fully.Paid"
"897","Fully.Paid"
"898","Fully.Paid"
"899","Fully.Paid"
"900","Fully.Paid"
"901","Fully.Paid"
"902","Fully.Paid"
"903","Fully.Paid"
"904","Fully.Paid"
"905","Fully.Paid"
"906","Fully.Paid"
"907","Charged.Off"
"908","Fully.Paid"
"909","Fully.Paid"
"910","Charged.Off"
"911","Fully.Paid"
"912","Fully.Paid"
"913","Fully.Paid"
"914","Fully.Paid"
"915","Fully.Paid"
"916","Fully.Paid"
"917","Fully.Paid"
"918","Fully.Paid"
"919","Fully.Paid"
"920","Fully.Paid"
"921","Fully.Paid"
"922","Fully.Paid"
"923","Fully.Paid"
"924","Fully.Paid"
"925","Charged.Off"
"926","Fully.Paid"
"927","Fully.Paid"
"928","Charged.Off"
"929","Fully.Paid"
"930","Fully.Paid"
"931","Fully.Paid"
"932","Fully.Paid"
"933","Charged.Off"
"934","Fully.Paid"
"935","Fully.Paid"
"936","Fully.Paid"
"937","Fully.Paid"
"938","Fully.Paid"
"939","Fully.Paid"
"940","Fully.Paid"
"941","Fully.Paid"
"942","Charged.Off"
"943","Fully.Paid"
"944","Fully.Paid"
"945","Fully.Paid"
"946","Fully.Paid"
"947","Fully.Paid"
"948","Fully.Paid"
"949","Charged.Off"
"950","Fully.Paid"
"951","Fully.Paid"
"952","Fully.Paid"
"953","Fully.Paid"
"954","Fully.Paid"
"955","Fully.Paid"
"956","Charged.Off"
"957","Fully.Paid"
"958","Fully.Paid"
"959","Charged.Off"
"960","Charged.Off"
"961","Charged.Off"
"962","Fully.Paid"
"963","Fully.Paid"
"964","Fully.Paid"
"965","Fully.Paid"
"966","Charged.Off"
"967","Fully.Paid"
"968","Fully.Paid"
"969","Fully.Paid"
"970","Fully.Paid"
"971","Fully.Paid"
"972","Fully.Paid"
"973","Fully.Paid"
"974","Fully.Paid"
"975","Fully.Paid"
"976","Fully.Paid"
"977","Fully.Paid"
"978","Fully.Paid"
"979","Fully.Paid"
"980","Fully.Paid"
"981","Fully.Paid"
"982","Fully.Paid"
"983","Charged.Off"
"984","Fully.Paid"
"985","Fully.Paid"
"986","Fully.Paid"
"987","Fully.Paid"
"988","Fully.Paid"
"989","Fully.Paid"
"990","Fully.Paid"
"991","Fully.Paid"
"992","Charged.Off"
"993","Fully.Paid"
"994","Fully.Paid"
"995","Fully.Paid"
"996","Fully.Paid"
"997","Fully.Paid"
"998","Fully.Paid"
"999","Charged.Off"
"1000","Fully.Paid"
"1001","Charged.Off"
"1002","Fully.Paid"
"1003","Charged.Off"
"1004","Fully.Paid"
"1005","Charged.Off"
"1006","Fully.Paid"
"1007","Fully.Paid"
"1008","Charged.Off"
"1009","Fully.Paid"
"1010","Fully.Paid"
"1011","Charged.Off"
"1012","Fully.Paid"
"1013","Fully.Paid"
"1014","Fully.Paid"
"1015","Fully.Paid"
"1016","Fully.Paid"
"1017","Fully.Paid"
"1018","Fully.Paid"
"1019","Fully.Paid"
"1020","Fully.Paid"
"1021","Charged.Off"
"1022","Fully.Paid"
"1023","Fully.Paid"
"1024","Fully.Paid"
"1025","Charged.Off"
"1026","Fully.Paid"
"1027","Fully.Paid"
"1028","Fully.Paid"
"1029","Fully.Paid"
"1030","Fully.Paid"
"1031","Charged.Off"
"1032","Fully.Paid"
"1033","Fully.Paid"
"1034","Fully.Paid"
"1035","Fully.Paid"
"1036","Fully.Paid"
"1037","Fully.Paid"
"1038","Fully.Paid"
"1039","Fully.Paid"
"1040","Fully.Paid"
"1041","Fully.Paid"
"1042","Fully.Paid"
"1043","Fully.Paid"
"1044","Fully.Paid"
"1045","Charged.Off"
"1046","Fully.Paid"
"1047","Fully.Paid"
"1048","Fully.Paid"
"1049","Fully.Paid"
"1050","Fully.Paid"
"1051","Fully.Paid"
"1052","Fully.Paid"
"1053","Fully.Paid"
"1054","Fully.Paid"
"1055","Fully.Paid"
"1056","Fully.Paid"
"1057","Fully.Paid"
"1058","Fully.Paid"
"1059","Charged.Off"
"1060","Charged.Off"
"1061","Charged.Off"
"1062","Fully.Paid"
"1063","Fully.Paid"
"1064","Fully.Paid"
"1065","Fully.Paid"
"1066","Fully.Paid"
"1067","Fully.Paid"
"1068","Fully.Paid"
"1069","Fully.Paid"
"1070","Charged.Off"
"1071","Fully.Paid"
"1072","Charged.Off"
"1073","Fully.Paid"
"1074","Fully.Paid"
"1075","Fully.Paid"
"1076","Fully.Paid"
"1077","Fully.Paid"
"1078","Charged.Off"
"1079","Fully.Paid"
"1080","Fully.Paid"
"1081","Fully.Paid"
"1082","Charged.Off"
"1083","Fully.Paid"
"1084","Fully.Paid"
"1085","Charged.Off"
"1086","Fully.Paid"
"1087","Fully.Paid"
"1088","Fully.Paid"
"1089","Fully.Paid"
"1090","Fully.Paid"
"1091","Charged.Off"
"1092","Fully.Paid"
"1093","Fully.Paid"
"1094","Charged.Off"
"1095","Fully.Paid"
"1096","Fully.Paid"
"1097","Fully.Paid"
"1098","Fully.Paid"
"1099","Fully.Paid"
"1100","Fully.Paid"
"1101","Fully.Paid"
"1102","Fully.Paid"
"1103","Fully.Paid"
"1104","Fully.Paid"
"1105","Fully.Paid"
"1106","Charged.Off"
"1107","Fully.Paid"
"1108","Fully.Paid"
"1109","Fully.Paid"
"1110","Charged.Off"
"1111","Fully.Paid"
"1112","Fully.Paid"
"1113","Fully.Paid"
"1114","Fully.Paid"
"1115","Fully.Paid"
"1116","Fully.Paid"
"1117","Fully.Paid"
"1118","Fully.Paid"
"1119","Fully.Paid"
"1120","Fully.Paid"
"1121","Fully.Paid"
"1122","Fully.Paid"
"1123","Fully.Paid"
"1124","Fully.Paid"
"1125","Fully.Paid"
"1126","Fully.Paid"
"1127","Fully.Paid"
"1128","Fully.Paid"
"1129","Fully.Paid"
"1130","Fully.Paid"
"1131","Charged.Off"
"1132","Fully.Paid"
"1133","Fully.Paid"
"1134","Charged.Off"
"1135","Fully.Paid"
"1136","Charged.Off"
"1137","Fully.Paid"
"1138","Fully.Paid"
"1139","Fully.Paid"
"1140","Charged.Off"
"1141","Fully.Paid"
"1142","Fully.Paid"
"1143","Fully.Paid"
"1144","Fully.Paid"
"1145","Fully.Paid"
"1146","Fully.Paid"
"1147","Charged.Off"
"1148","Fully.Paid"
"1149","Fully.Paid"
"1150","Fully.Paid"
"1151","Charged.Off"
"1152","Fully.Paid"
"1153","Charged.Off"
"1154","Fully.Paid"
"1155","Fully.Paid"
"1156","Fully.Paid"
"1157","Fully.Paid"
"1158","Fully.Paid"
"1159","Fully.Paid"
"1160","Fully.Paid"
"1161","Charged.Off"
"1162","Fully.Paid"
"1163","Charged.Off"
"1164","Fully.Paid"
"1165","Charged.Off"
